0.535,-37.368614270641245,-34.57801976001799,-33.34912123648851,-33.90131226664673,-35.94512920469612
0.54,-38.06805289710528,-35.63848919953318,-34.765218447442074,-35.52962814970999,-37.69075200175394
0.545,-38.80681713159137,-36.70545598878043,-36.13353494096179,-37.09364286675685,-39.417956621335534
0.55,-39.577876287225266,-37.77561940287167,-37.46909332169856,-38.62483333175124,-41.16741406006401
0.555,-40.37640220162476,-38.84927922921182,-38.78644790625959,-40.150540740317375,-42.98157906985412
0.56,-41.199524091424784,-39.929087616315734,-40.09988994987043,-41.69705872694305,-44.9112751372633
0.565,-42.045990146648215,-41.01955104881074,-41.42400167020238,-43.29236106106306,-47.02565604854073
0.57,-42.91599009235303,-42.12653685059456,-42.774453457019945,-44.969535182089324,-49.43156782982959
0.575,-43.811005551563085,-43.25740790834488,-44.16897437821264,-46.77126857316625,-52.31775234044365
0.58,-44.73375082930491,-44.42111063234569,-45.62897924723552,-48.75817707241847,-56.08485005656425
0.585,-45.688213779387,-45.62865438861914,-47.18177110606875,-51.024886882417206,-61.90095876209996
0.59,-46.679741436592735,-46.89384331360059,-48.86446619468757,-53.73713002053452,-79.12350338625859
0.595,-47.71537745095293,-48.23448224856202,-50.73097137667035,-57.23614447878859,-65.69148220465868
0.6,-48.804240910738905,-49.67433804502443,-52.86581575457116,-62.446301478642056,-59.21332402487141
0.605,-49.958232729414945,-51.2465489286737,-55.41550191225912,-74.5157544040601,-55.79465037291953
0.61,-51.193136012519275,-52.99966678871516,-58.67309381065441,-69.58524610292183,-53.517927970262335
0.615,-52.53040602917447,-55.00983629396725,-63.38450310874766,-61.82738191963444,-51.83988693536258
0.62,-54.00020263623209,-57.4073574920969,-72.8780194435343,-58.04461269073843,-50.52914007490906
0.625,-55.64683544065112,-60.44584806016662,-74.43116202367658,-55.58557761177955,-49.465645852276275
0.63,-57.53931517170485,-64.73701112809808,-64.77684871394844,-53.793240790223855,-48.57921723070055
0.635,-59.79416122755099,-72.61033429988993,-60.5618882455932,-52.40161813149729,-47.82530662768454
0.64,-62.63261602458063,-81.0293284992136,-57.89896480674598,-51.27648944643244,-47.17393540436879
